book_id,book_title,rate_score,rate_nums,book_pub_info,book_desc,book_url,pic_url
36365320,Python编程（第3版）,9.3,(146人评价),[美] 埃里克 • 马瑟斯（Eric Matthes） / 袁国忠 / 人民邮电出版社 / 2023-5 / 109.80元,"享誉全球的Python入门书，影响了超过250万读者。
◎ 编辑推荐
编程入门就选蟒蛇书！
【经典】Python入门圣经，长居 Amazon、京东等编程类图...",https://book.douban.com/subject/36365320/,https://img3.doubanio.com/view/subject/s/public/s34505252.jpg
35006892,程序员修炼之道（第2版）,9.1,(725人评价),[美] David Thomas、[美] Andrew Hunt / 云风 / 电子工业出版社 / 2020-4-1 / 89.00元,本书之所以在全球范围内广泛传播，被一代代开发者奉为圭臬，盖因它可以创造出真正的价值：或编写出更好的软件，或探究出编程的本质，而所有收获均不依赖于特定语言、框...,https://book.douban.com/subject/35006892/,https://img9.doubanio.com/view/subject/s/public/s33836286.jpg
36547630,Rust程序设计（第2版）,9.3,(33人评价),[美]吉姆·布兰迪（Jim Blandy）、[美]贾森 • 奥伦多夫（Jason Orendorff）、[美]莉奥诺拉 • F. S. 廷德尔（Leonora F. S. Tindall） / 汪志成（@雪狼） / 人民邮电出版社 / 2023-9-5 / 179.8元,"本书是Rust领域经典参考书，由业内资深系统程序员编写，广受读者好评。
书中全面介绍了Rust这种新型系统编程语言——具有无与伦比的安全性，兼具C和C++的...",https://book.douban.com/subject/36547630/,https://img3.doubanio.com/view/subject/s/public/s34641512.jpg
36457109,程序员的README,8.6,(95人评价),[美] 克里斯·里科米尼（Chris Riccomini）、[美] 德米特里·里亚博伊（Dmitriy Ryaboy） / 付裕 / 人民邮电出版社 / 2023-7-10 / 79.8,对于刚刚成为软件工程师的新手来说，知道如何编写代码只是成功了一半。你可能很快就会发现，学校并没有教授在现实世界中至关重要的技能和工作中必要的流程。本书恰恰填...,https://book.douban.com/subject/36457109/,https://img9.doubanio.com/view/subject/s/public/s34570616.jpg
35503091,C语言程序设计：现代方法（第2版•修订版）,9.2,(114人评价),[美] K.N.金 / 吕秀锋、黄倩 / 图灵丨人民邮电出版社 / 2021-7 / 129.80元,"◎ 本书特色
近30年来珍宝级C语言入门经典，累计印数10万+，豆瓣评分9.3分
哈佛、麻省理工、斯坦福等诸多名校C语言教材
基于C1X标准全新升级
浙江大...",https://book.douban.com/subject/35503091/,https://img9.doubanio.com/view/subject/s/public/s33927414.jpg
1998341,计算机系统要素,9.1,(269人评价),[美] Noam Nisan、[美] Shimon Schocken / 周维、宋磊、陈曦 / 电子工业出版社 / 2007-01-01 / 45.00元,本书通过展现简单但功能强大的计算机系统之构建过程，为读者呈现了一幅完整、严格的计算机应用科学大图景。本书作者认为，理解计算机工作原理的最好方法就是亲自动手，...,https://book.douban.com/subject/1998341/,https://img9.doubanio.com/view/subject/s/public/s2207295.jpg
35972849,代码大全2（纪念版）,9.3,(62人评价),[美] 史蒂夫·麦康奈尔(Steve McConnell) / 陈玉毅、陈军、杨志昂、洪佳、徐东伟、王国良、徐毅、李虎 / 清华大学出版社 / 2022-7-7 / 256.00,"《软件开发》杂志Jolt大奖
大而全，洞悉软件构建精髓
优而先，兼顾行业实践研究
奠定硬核技术领导力的经典
庸常变身卓越的实用性指导
《代码大全2》是著名科...",https://book.douban.com/subject/35972849/,https://img3.doubanio.com/view/subject/s/public/s34276333.jpg
35520512,深入浅出Pandas,8.6,(97人评价),李庆辉 / 机械工业出版社 / 2021-7-10 / 99.00,"如果你想充分发挥Python的强大作用，如果你想成为一名好的Python工程师，你应该先学好Pandas。
这是一本全面覆盖了Pandas使用者的普遍需求和...",https://book.douban.com/subject/35520512/,https://img9.doubanio.com/view/subject/s/public/s33944495.jpg
35768338,Vue.js设计与实现,9.6,(197人评价),霍春阳 / 人民邮电出版社 / 2022-2-10 / 119.8,本书基于Vue.js 3，从规范出发，以源码为基础，并结合大量直观的配图，循序渐进地讲解Vue.js中各个功能模块的实现，细致剖析框架设计原理。全书共18章...,https://book.douban.com/subject/35768338/,https://img9.doubanio.com/view/subject/s/public/s34120804.jpg
33450010,动手学深度学习,9.3,(552人评价),阿斯顿·张（Aston Zhang）、李沐（Mu Li）、[美] 扎卡里·C. 立顿（Zachary C. Lipton）、[德] 亚历山大·J. 斯莫拉（Alexander J. Smola） / 人民邮电出版社 / 2019-6 / 85.00元,本书旨在向读者交付有关深度学习的交互式学习体验。书中不仅阐述深度学习的算法原理，还演示它们的实现和运行。与传统图书不同，本书的每一节都是一个可以下载并运行的...,https://book.douban.com/subject/33450010/,https://img9.doubanio.com/view/subject/s/public/s32322795.jpg
